name,description,latitude,longitude,state,image_url,type
Adams Power Plant Transformer House,Adams Power Plant Transformer HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/AdamsPowerPlant_DateUnknown_HABS_15_GeneralViewFromSoutheast_cropped.jpg/330px-AdamsPowerPlant_DateUnknown_HABS_15_GeneralViewFromSoutheast_cropped.jpg,manmade
Susan B. Anthony House,Susan B. Anthony HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Susan-b-anthony-house.jpg/330px-Susan-b-anthony-house.jpg,manmade
Armour-Stiner House,Armour-Stiner HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Armour-Stiner_House_%281%29.jpg/330px-Armour-Stiner_House_%281%29.jpg,manmade
Bennington Battlefield,Bennington BattlefieldMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Bennington_Battlefield_State_Historic_Site_30May2008.jpg/330px-Bennington_Battlefield_State_Historic_Site_30May2008.jpg,manmade
Boston Post Road Historic District,Boston Post Road Historic DistrictMore images,,,New York,,manmade
Boughton Hill (Gannagaro),Boughton Hill (Gannagaro)More images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Ganondagan-house.jpg/330px-Ganondagan-house.jpg,manmade
Bronck House,Bronck HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Bronck-house.jpg/330px-Bronck-house.jpg,manmade
Dr. Oliver Bronson House and Estate,Dr. Oliver Bronson House and EstateMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Dr._Oliver_Bronson_House_and_Estate.jpg/330px-Dr._Oliver_Bronson_House_and_Estate.jpg,manmade
John Brown Farm and Gravesite,John Brown Farm and GravesiteMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/House_at_John_Brown%27s_Farm.jpg/330px-House_at_John_Brown%27s_Farm.jpg,manmade
Buffalo and Erie County Historic Society Building,Buffalo and Erie County Historic Society BuildingMore images,,,New York,,manmade
Buffalo State Hospital,Buffalo State HospitalMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Central_Wing%2C_Old_Buffalo_State_Hospital%2C_Richardson_Olmsted_Complex%2C_Elmwood_Village%2C_Buffalo%2C_NY_-_52596088993.jpg/330px-Central_Wing%2C_Old_Buffalo_State_Hospital%2C_Richardson_Olmsted_Complex%2C_Elmwood_Village%2C_Buffalo%2C_NY_-_52596088993.jpg,manmade
Camp Pine Knot,Camp Pine KnotMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Camp_Pine_Knot%2C_Metcalf_Hall.jpg/330px-Camp_Pine_Knot%2C_Metcalf_Hall.jpg,manmade
Camp Uncas,Camp Uncas,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/1899-Stoddard-Uncas-gate-L.jpg/330px-1899-Stoddard-Uncas-gate-L.jpg,manmade
Chautauqua Historic District,Chautauqua Historic DistrictMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/ChautauquaInst_HallPhilosophy.jpg/330px-ChautauquaInst_HallPhilosophy.jpg,manmade
Christeen(sloop),Christeen(sloop)More images,,,New York,,manmade
Frederick E. Church House,Frederick E. Church HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Olana_WLM_06.jpg/330px-Olana_WLM_06.jpg,manmade
Clermont,ClermontMore images,,,New York,,manmade
Cobblestone Historic District,Cobblestone Historic DistrictMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Cobblestone_Church%2C_Childs%2C_NY.jpg/330px-Cobblestone_Church%2C_Childs%2C_NY.jpg,manmade
Thomas Cole House,Thomas Cole HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Thomas_Cole_NHS_17.jpg/330px-Thomas_Cole_NHS_17.jpg,manmade
Colonial Niagara Historic District,Colonial Niagara Historic DistrictMore images,,,New York,,manmade
Columbia(Steamer),Columbia(Steamer)More images,,,New York,,manmade
Roscoe Conkling House,Roscoe Conkling House,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Roscoeconklinghouse.JPG/330px-Roscoeconklinghouse.JPG,manmade
Aaron Copland House,Aaron Copland House,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Aaron_Copland_House%2C_Cortlandt_Manor%2C_NY.jpg/330px-Aaron_Copland_House%2C_Cortlandt_Manor%2C_NY.jpg,manmade
Croton Aqueduct (Old),Croton Aqueduct (Old)More images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/45_William_England_-_High_Bridge%2C_Harlem_River%2C_New_York.jpg/330px-45_William_England_-_High_Bridge%2C_Harlem_River%2C_New_York.jpg,manmade
Davis-Ferris Organ,Davis-Ferris OrganMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Davis-Ferris_Organ_Front_View.jpg/330px-Davis-Ferris_Organ_Front_View.jpg,manmade
De Wint House,De Wint HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/DeWint_House_Tappan.JPG/330px-DeWint_House_Tappan.JPG,manmade
Delaware and Hudson Canal,Delaware and Hudson CanalMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Delaware_and_Hudson_Canal_near_Summitville%2C_NY.jpg/330px-Delaware_and_Hudson_Canal_near_Summitville%2C_NY.jpg,manmade
John William Draper House,John William Draper House,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/HenryDraperObservatory.jpg/330px-HenryDraperObservatory.jpg,manmade
Dutch Reformed Church,Dutch Reformed ChurchMore images,,,New York,,manmade
"Dutch Reformed Church, Newburgh","Dutch Reformed Church, NewburghMore images",,,New York,,manmade
Eagle Island Camp,Eagle Island Camp,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/BLdgLodge_EIC.jpg/330px-BLdgLodge_EIC.jpg,manmade
Gardner Earl Memorial Chapel and Crematorium,Gardner Earl Memorial Chapel and CrematoriumMore images,,,New York,,manmade
George Eastman House,George Eastman HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/George-Eastman-House%3DExterior.JPG/330px-George-Eastman-House%3DExterior.JPG,manmade
Edward M. Cotter,Edward M. CotterMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Cotter2017.jpg/330px-Cotter2017.jpg,manmade
Elephant Hotel,Elephant HotelMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Elephant_Hotel_2007.jpg/330px-Elephant_Hotel_2007.jpg,manmade
Erie Canal,Erie CanalMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Erie_Canalway-_Tug-Lock.jpg/330px-Erie_Canalway-_Tug-Lock.jpg,manmade
Millard Fillmore House,Millard Fillmore HouseMore images,,,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Millard_Fillmore_House_Sep_12.jpg/330px-Millard_Fillmore_House_Sep_12.jpg,manmade
Fire Fighter(fireboat),Fire Fighter(fireboat)More images,,,New York,,manmade
First Presbyterian Church (Old Whalers),First Presbyterian Church (Old Whalers)More images,,,New York,,manmade
