name,description,latitude,longitude,state,image_url,type
Adams Power Plant Transformer House,"Adams Power Plant Transformer House in Niagara Falls, New York is a National Historic Landmarked building constructed in 1895. It is the only remaining structure that was part of the historic Edward Dean Adams Power Plant, the first large-scale, alternating current electric generating plant in the world, built in 1895. The building's eponym was Edward Dean Adams, a businessman and entrepreneur in the electrical field.",43.08176389,-79.04283611,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/AdamsPowerPlant_DateUnknown_HABS_15_GeneralViewFromSoutheast_cropped.jpg/330px-AdamsPowerPlant_DateUnknown_HABS_15_GeneralViewFromSoutheast_cropped.jpg,Manmade
Adirondack Park,"The Adirondack Park is a park in northeastern New York protecting the Adirondack Mountains. The park was established in 1892 for ""the free use of all the people for their health and pleasure"", and for watershed protection. At 6.1 million acres (25,000 km2), it is the largest park in the contiguous United States.",44,-74.33333333,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Long_Pond_-_St_Regis.jpg/330px-Long_Pond_-_St_Regis.jpg,Manmade
Susan B. Anthony House,"Susan B. Anthony House, in Rochester, New York, was the home of Susan B. Anthony for forty years, while she was a national figure in the women's rights movement.",43.15327778,-77.62811111,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Susan-b-anthony-house.jpg/330px-Susan-b-anthony-house.jpg,Manmade
Armour–Stiner House,"The Armour–Stiner House is an octagon-shaped and domed Victorian-style house located at 45 West Clinton Avenue in Irvington, in Westchester County, New York. It was designated a National Historic Landmark in 1976. It is the only known fully domed octagonal residence. The house was modeled after Donato Bramante’s 1502 Tempietto in Rome, which in turn was based on a Tholos, a type of ancient classical temple.",41.03083333,-73.87055556,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Armour-Stiner_House_%281%29.jpg/330px-Armour-Stiner_House_%281%29.jpg,Manmade
Bennington Battlefield State Historic Site,"The Bennington Battlefield is the Rensselaer County, New York, location where the Battle of Bennington occurred on the 16th of August 1777. It is located on New York State Route 67 in Walloomsac, New York, a historic route between Bennington, Vermont and the Hudson River. Here, New Hampshire, Vermont and Massachusetts militia under General John Stark rebuffed a British attempt led by Colonel Friedrich Baum to capture American stores. It was declared a National Historic Landmark in 1961. A portion of the battlefield is preserved in the Bennington Battlefield State Historic Site. The American Battlefield Trust and its partners have acquired and preserved more than 23 acres of the battlefield not already part of the state historic site.",42.93861111,-73.30444444,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Bennington_Battlefield_State_Historic_Site_30May2008.jpg/330px-Bennington_Battlefield_State_Historic_Site_30May2008.jpg,Manmade
"Boston Post Road Historic District (Rye, New York)","The Boston Post Road Historic District is a 286-acre (116 ha) National Historic Landmark District in Rye, New York, and is composed of five distinct and adjacent properties. Within this landmarked area are three architecturally significant, pre-Civil War mansions and their grounds; a 10,000-year-old Indigenous peoples site and viewshed; a private cemetery, and a nature preserve. It is one of only 11 National Historic Landmark Districts in New York State and the only National Historic Landmark District in Westchester County. It touches on the south side of the nation's oldest road, the Boston Post Road, which extends through Rye. A sandstone Westchester Turnpike marker ""24"", inspired by Benjamin Franklin's original mile marker system, is set into a wall that denotes the perimeter of three of the contributing properties. The district reaches to Milton Harbor of Long Island Sound. Two of the properties included in the National Park Service designation are anchored by Greek Revival buildings; the third property is dominated by a Gothic Revival structure that was designed by Alexander Jackson Davis.",40.958487,-73.701922,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Boston_Post_Road_Historic_District_plaque.jpg/330px-Boston_Post_Road_Historic_District_plaque.jpg,Manmade
Ganondagan State Historic Site,"Ganondagan State Historic Site, also known as Boughton Hill, is a Native American historic site in Ontario County, New York in the United States. Location of the largest Seneca village of the 17th century, the site is in the present-day Town of Victor, southwest of the Village of Victor. The village was also referred to in various spellings as Gannagaro, Canagora, Gandagora, Gandagaro and Gannontaa.",42.96115556,-77.41273611,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Ganondagan-house.jpg/330px-Ganondagan-house.jpg,Manmade
Bronck House,"The Bronck House, also known as the Pieter Bronck House, is a historic house museum west of Coxsackie in Greene County, New York. With a construction history dating to 1663, it is believed to be the oldest surviving building in Upstate New York, and is a well-preserved example of early Dutch and Swedish Colonial architecture. It was declared a National Historic Landmark in 1967. It is now a museum property managed by the county historical society.",42.342052,-73.848724,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Bronck-house.jpg/330px-Bronck-house.jpg,Manmade
Oliver Bronson House,"The Plumb-Bronson House, also known as the Dr. Oliver Bronson House and Stables, is a historic house on Worth Avenue in Hudson, New York. Built in 1811 and significantly altered in 1839 and 1849, it is an important early example of the Hudson River Bracketed style by Alexander Jackson Davis. The house was declared a National Historic Landmark in 2003.",42.24311944,-73.78576389,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Dr._Oliver_Bronson_House_and_Estate.jpg/330px-Dr._Oliver_Bronson_House_and_Estate.jpg,Manmade
John Brown Farm State Historic Site,"The John Brown Farm State Historic Site includes the home and final resting place of abolitionist John Brown (1800–1859). It is located on John Brown Road in the town of North Elba, 3 miles (5 km) southeast of Lake Placid, New York, where John Brown moved in 1849 to teach farming to African Americans. It has been called the highest farm in the state, ""the highest arable spot of land in the State, if, indeed, soil so hard and sterile can be called arable.""",44.252,-73.9714,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/House_at_John_Brown%27s_Farm.jpg/330px-House_at_John_Brown%27s_Farm.jpg,Manmade
